User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000566,P636635,M,36-45,14,A,0,0,18,,,1568
1000299,P651497,F,18-25,13,C,3,1,18,19.0,,18750
1000624,P726719,F,51-55,20,B,3,1,13,,11.0,2146
1000638,P810281,F,36-45,2,B,3,1,6,11.0,19.0,13161
1000518,P435830,F,55+,16,C,3,1,14,,,6512
1000985,P737170,M,26-35,4,C,2,0,8,,,16796
1000861,P407741,F,26-35,4,C,1,0,10,,,4265
1000473,P871337,M,18-25,2,B,0,1,4,20.0,11.0,14802
1000334,P378169,F,55+,8,C,2,1,16,,,2984
1000895,P916683,F,18-25,6,B,0,0,3,,4.0,6463
1000797,P275601,M,46-50,0,A,1,1,9,,,15886
1000993,P362243,M,0-17,13,B,1,1,4,,17.0,10902
1000319,P237193,M,51-55,8,A,3,1,14,,11.0,4487
1000881,P525975,F,26-35,19,A,0,0,6,15.0,20.0,18364
1000110,P940663,M,18-25,13,A,2,0,13,13.0,,6447
1000297,P601187,F,26-35,8,B,2,0,11,12.0,,18601
1000603,P838210,M,0-17,2,B,0,0,7,2.0,10.0,11032
1000022,P561008,F,46-50,14,A,4+,0,10,,20.0,3680
1000670,P704039,F,18-25,8,A,4+,1,19,18.0,2.0,12935
1000481,P836257,M,26-35,15,C,0,1,17,,,14640
1000077,P219845,M,55+,12,B,4+,1,12,3.0,12.0,17923
1000691,P120870,M,18-25,13,C,1,1,4,1.0,19.0,12076
1000799,P985446,F,0-17,20,C,0,1,15,,,18777
1000001,P858714,F,26-35,18,A,1,0,7,,13.0,11487
1000470,P108985,F,46-50,3,C,1,0,10,17.0,8.0,672
1000052,P401474,M,55+,0,A,4+,1,1,6.0,,18924
1000870,P628142,F,18-25,0,C,1,1,4,8.0,,2480
1000064,P876860,M,0-17,17,B,2,0,14,2.0,3.0,13774
1000218,P569973,F,18-25,15,C,2,1,8,11.0,4.0,7960
1000887,P366020,F,51-55,14,A,0,1,3,3.0,,10977
1000197,P465696,F,46-50,12,B,0,1,9,2.0,,13553
1000257,P669313,F,51-55,6,C,1,0,11,,4.0,17566
1000751,P973484,M,55+,11,A,2,1,11,,3.0,6809
1000454,P442132,M,18-25,4,B,4+,0,4,5.0,18.0,8397
1000681,P265568,F,36-45,16,B,2,1,13,1.0,19.0,10614
1000489,P423758,M,26-35,14,A,3,1,13,9.0,8.0,15742
1000802,P320597,F,46-50,6,C,0,1,13,12.0,,10186
1000887,P192757,F,0-17,9,B,2,1,17,18.0,10.0,3104
1000058,P760563,F,18-25,12,B,1,1,6,8.0,,6251
1000879,P456286,M,18-25,15,B,2,1,6,,1.0,7116
1000773,P443742,F,26-35,20,C,2,1,5,17.0,18.0,6636
1000602,P602040,F,36-45,2,A,4+,0,11,,3.0,3333
1000745,P232432,M,26-35,4,A,3,1,19,,17.0,14359
1000045,P276533,F,55+,0,B,4+,1,6,2.0,17.0,2358
1000269,P213159,F,18-25,8,A,0,1,5,,,1959
1000550,P318241,F,51-55,13,C,4+,0,13,,,13647
1000489,P499316,F,26-35,9,B,3,0,6,,19.0,11770
1000987,P412063,F,18-25,20,A,2,0,3,,1.0,17406
1000931,P498926,F,0-17,2,A,2,1,5,,8.0,6130
1000935,P875372,M,18-25,13,A,1,0,12,20.0,1.0,734
1000190,P638786,M,18-25,9,C,1,0,19,,,19125
1000683,P276878,F,46-50,19,A,2,0,11,,17.0,1227
1000605,P276462,M,55+,8,B,1,0,7,,18.0,11149
1000652,P585568,F,0-17,20,B,3,0,8,,,4336
1000795,P822398,M,18-25,17,B,2,1,17,,2.0,13441
1000565,P367955,M,36-45,15,B,1,1,15,,11.0,504
1000941,P439311,M,51-55,4,B,1,0,6,19.0,3.0,13950
1000375,P671584,F,55+,15,C,4+,0,4,,1.0,1731
1000451,P351913,F,26-35,1,C,1,1,17,,,7834
1000483,P235154,M,36-45,11,B,3,0,15,7.0,,7532
1000697,P780120,M,18-25,3,A,3,0,18,1.0,,6823
1000895,P625087,F,51-55,11,A,0,0,2,9.0,3.0,710
1000109,P417922,M,36-45,1,C,3,0,2,6.0,14.0,14232
1000692,P973338,F,0-17,8,B,1,1,13,19.0,10.0,10613
1000410,P761771,F,26-35,17,B,2,1,8,12.0,13.0,1043
1000867,P122414,M,26-35,18,A,3,1,20,2.0,1.0,9415
1000906,P125084,M,26-35,10,C,0,1,7,13.0,,734
1000093,P741924,M,36-45,11,B,2,0,20,20.0,12.0,1779
1000870,P128959,F,51-55,2,B,4+,0,4,,,2100
1000431,P996525,F,51-55,17,B,2,0,4,,5.0,19214
1000157,P570369,M,0-17,1,B,4+,1,17,,2.0,7487
1000204,P572359,F,46-50,7,C,3,1,11,12.0,5.0,13953
1000829,P714663,F,51-55,3,C,2,0,20,20.0,,18253
1000620,P408979,F,26-35,20,A,3,1,14,,,8829
1000304,P406920,M,0-17,15,C,4+,0,3,6.0,19.0,16714
1000145,P629802,F,18-25,6,B,2,0,11,16.0,,10660
1000178,P849837,M,0-17,4,B,1,1,7,12.0,5.0,16338
1000776,P204932,M,0-17,8,A,1,0,9,,4.0,12274
1000738,P454504,F,18-25,7,A,0,0,20,,,11548
1000330,P717859,M,51-55,16,A,0,0,18,,,11083
1000979,P126323,M,55+,5,C,3,1,1,6.0,2.0,2486
1000504,P514149,M,18-25,5,A,1,1,15,,1.0,13882
1000847,P195466,F,0-17,8,B,3,0,10,,,630
1000224,P257847,F,55+,9,C,1,0,19,,,19665
1000114,P598637,F,36-45,10,B,1,1,19,13.0,1.0,15016
1000716,P355437,M,55+,12,A,1,1,8,11.0,2.0,4767
1000618,P750862,F,0-17,13,A,0,0,9,,,19099
1000482,P606968,F,18-25,9,B,0,1,6,12.0,,13738
1000139,P645943,F,46-50,11,B,1,1,13,11.0,12.0,14656
1000495,P266756,M,36-45,11,A,0,0,8,,3.0,2150
1000333,P882486,F,0-17,14,C,0,0,1,,,7205
1000308,P324989,F,18-25,4,B,2,1,11,,15.0,14417
1000987,P938542,M,18-25,4,A,1,1,2,16.0,16.0,1597
1000830,P666026,F,0-17,7,A,1,1,9,,,9868
1000283,P636277,M,0-17,9,B,1,1,6,,15.0,1321
1000375,P290718,F,0-17,5,A,4+,1,20,,,18663
1000347,P390411,M,36-45,2,A,2,1,16,5.0,,11512
1000046,P324235,F,55+,4,A,4+,0,8,12.0,,11701
1000773,P408560,M,18-25,2,A,0,1,3,,20.0,15286
1000237,P587703,M,18-25,15,C,3,1,8,,,2238
1000947,P876237,F,55+,17,C,0,0,7,,,803
1000174,P523208,M,0-17,14,C,0,0,9,,,9794
1000646,P760614,F,26-35,7,B,3,0,14,9.0,10.0,9624
1000509,P876351,F,0-17,13,A,2,1,15,,13.0,8290
1000474,P333074,M,36-45,15,B,4+,0,19,11.0,,11250
1000312,P649834,M,46-50,4,C,0,0,9,,6.0,9421
1000425,P993314,F,46-50,19,C,4+,1,7,,,17277
1000842,P521093,M,0-17,5,C,3,1,20,,15.0,4070
1000453,P667819,M,0-17,10,C,4+,0,9,,,13229
1000575,P928480,M,18-25,9,A,2,0,2,14.0,9.0,3341
1000925,P650493,M,18-25,4,A,3,0,15,,16.0,5905
1000427,P522604,M,36-45,9,C,3,0,5,15.0,,9207
1000228,P853770,F,0-17,10,A,3,1,11,5.0,,17072
1000608,P184254,M,46-50,0,C,3,0,2,20.0,20.0,15725
1000494,P603558,F,26-35,12,C,0,0,5,1.0,5.0,16966
1000385,P663777,M,36-45,13,C,0,0,15,12.0,15.0,1467
1000831,P260867,F,0-17,15,C,0,1,19,17.0,,5395
1000539,P794095,F,55+,9,C,2,0,15,,,12504
1000405,P571315,M,46-50,12,A,3,0,6,10.0,5.0,17657
1000258,P364042,M,18-25,17,B,1,0,11,12.0,,17181
1000215,P860895,F,46-50,4,A,4+,0,19,,17.0,2873
1000866,P105126,M,51-55,9,A,1,0,13,19.0,,16479
1000274,P894190,F,46-50,16,C,0,1,2,,1.0,18898
1000061,P918020,M,36-45,12,B,0,0,4,4.0,14.0,2570
1000521,P232752,F,51-55,17,C,3,0,12,9.0,,15242
1000436,P868455,F,46-50,14,A,2,1,4,,13.0,9992
1000995,P234892,F,51-55,13,B,0,1,2,15.0,,18139
1000160,P442625,F,0-17,2,B,1,0,13,14.0,,8609
1000253,P189531,F,36-45,15,C,4+,1,17,12.0,,17937
1000456,P882351,M,18-25,6,B,3,1,18,,17.0,4764
1000574,P128733,M,36-45,8,A,2,0,18,12.0,,4353
1000402,P382676,F,55+,5,C,0,0,16,4.0,,11472
1000027,P729286,F,36-45,15,B,2,1,14,18.0,16.0,18526
1000332,P951219,F,0-17,12,C,2,0,7,,4.0,1196
1000208,P261538,M,51-55,4,B,4+,1,8,,20.0,11968
1000421,P460487,F,36-45,17,A,3,1,1,4.0,1.0,1577
1000088,P257433,F,18-25,1,C,2,1,2,,,13073
1000552,P986995,F,36-45,19,C,2,1,18,,16.0,14479
1000343,P725664,F,55+,19,A,1,1,19,,3.0,13594
1000825,P154563,M,26-35,9,B,3,0,20,10.0,17.0,15568
1000771,P711431,F,36-45,10,B,1,0,20,11.0,,8537
1000424,P431346,M,18-25,18,B,2,1,20,12.0,15.0,6172
1000923,P343671,M,36-45,15,C,3,1,12,8.0,11.0,8917
1000603,P792259,M,46-50,8,A,2,0,19,,6.0,13518
1000785,P654793,M,36-45,17,B,4+,1,20,,3.0,1107
1000211,P656449,F,51-55,6,C,4+,1,12,9.0,11.0,6052
1000519,P651810,M,36-45,11,B,1,0,3,15.0,17.0,1264
